Member_number,Date,itemDescription,year,month,day,day_of_week
3296,2015-08-17,soda,2015,8,17,0
2257,2015-05-02,herbs,2015,5,2,5
4313,2015-07-28,frankfurter,2015,7,28,1
2001,2015-08-21,rolls/buns,2015,8,21,4
2449,2015-08-07,curd,2015,8,7,4
4914,2015-12-04,frankfurter,2015,12,4,4
2764,2015-07-24,other vegetables,2015,7,24,4
4187,2015-09-05,dog food,2015,9,5,5
1392,2015-04-20,specialty bar,2015,4,20,0
3427,2015-04-28,curd,2015,4,28,1
1411,2015-02-20,frankfurter,2015,2,20,4
3390,2015-11-14,soda,2015,11,14,5
4787,2015-01-08,beef,2015,1,8,3
3310,2015-01-17,canned beer,2015,1,17,5
1782,2015-10-10,pork,2015,10,10,5
3375,2015-04-26,frankfurter,2015,4,26,6
2760,2015-07-01,sausage,2015,7,1,2
4249,2015-09-13,canned beer,2015,9,13,6
2904,2015-06-06,specialty chocolate,2015,6,6,5
4090,2015-02-26,curd,2015,2,26,3
3060,2015-05-07,canned beer,2015,5,7,3
3768,2015-07-10,whole milk,2015,7,10,4
1232,2015-01-21,rolls/buns,2015,1,21,2
1360,2015-10-23,pork,2015,10,23,4
1107,2015-01-10,citrus fruit,2015,1,10,5
2865,2015-04-11,pot plants,2015,4,11,5
2958,2015-06-14,rolls/buns,2015,6,14,6
2448,2015-12-07,butter,2015,12,7,0
1222,2015-09-24,condensed milk,2015,9,24,3
2943,2015-06-20,sausage,2015,6,20,5
2270,2015-11-08,whole milk,2015,11,8,6
3812,2015-07-21,sausage,2015,7,21,1
1482,2015-11-22,beverages,2015,11,22,6
4720,2015-02-22,beverages,2015,2,22,6
1344,2015-04-09,bottled water,2015,4,9,3
2397,2015-04-10,newspapers,2015,4,10,4
4182,2015-12-05,cleaner,2015,12,5,5
4487,2015-10-07,sausage,2015,10,7,2
3467,2015-12-24,newspapers,2015,12,24,3
2443,2015-11-15,sausage,2015,11,15,6
2749,2015-01-27,misc. beverages,2015,1,27,1
4389,2015-04-13,white wine,2015,4,13,0
1674,2015-04-12,sausage,2015,4,12,6
4262,2015-10-16,meat,2015,10,16,4
2082,2015-07-04,frankfurter,2015,7,4,5
4494,2015-06-01,ice cream,2015,6,1,0
2460,2015-09-28,canned beer,2015,9,28,0
4509,2015-11-29,tropical fruit,2015,11,29,6
2267,2015-03-07,meat,2015,3,7,5
4891,2015-05-09,whole milk,2015,5,9,5
3962,2015-09-20,sausage,2015,9,20,6
4964,2015-07-18,frankfurter,2015,7,18,5
2914,2015-11-30,meat,2015,11,30,0
2808,2015-05-05,root vegetables,2015,5,5,1
1085,2015-08-15,root vegetables,2015,8,15,5
3808,2015-08-18,whole milk,2015,8,18,1
4149,2015-07-01,citrus fruit,2015,7,1,2
2331,2015-05-06,citrus fruit,2015,5,6,2
4475,2015-03-04,other vegetables,2015,3,4,2
2761,2015-04-25,citrus fruit,2015,4,25,5
2620,2015-12-14,sausage,2015,12,14,0
3206,2015-10-13,frankfurter,2015,10,13,1
1226,2015-04-13,hard cheese,2015,4,13,0
1395,2015-07-03,cream cheese ,2015,7,3,4
2465,2015-07-06,turkey,2015,7,6,0
3572,2015-09-07,pork,2015,9,7,0
4387,2015-08-05,whole milk,2015,8,5,2
1555,2015-03-27,rolls/buns,2015,3,27,4
1181,2015-11-16,sausage,2015,11,16,0
2814,2015-11-05,ice cream,2015,11,5,3
2794,2015-09-16,liquor,2015,9,16,2
2912,2015-01-28,pip fruit,2015,1,28,2
4667,2015-12-01,root vegetables,2015,12,1,1
2235,2015-10-25,soda,2015,10,25,6
2353,2015-02-05,soda,2015,2,5,3
3449,2015-08-03,sausage,2015,8,3,0
1058,2015-10-11,root vegetables,2015,10,11,6
1027,2015-05-17,pork,2015,5,17,6
3302,2015-05-22,pork,2015,5,22,4
2229,2015-05-30,chocolate,2015,5,30,5
2188,2015-08-15,fruit/vegetable juice,2015,8,15,5
1547,2015-04-18,pickled vegetables,2015,4,18,5
1649,2015-06-30,bottled water,2015,6,30,1
3254,2015-10-09,frankfurter,2015,10,9,4
2818,2015-07-11,tropical fruit,2015,7,11,5
2703,2015-08-05,canned beer,2015,8,5,2
3332,2015-01-31,root vegetables,2015,1,31,5
2473,2015-01-07,meat,2015,1,7,2
2810,2015-12-30,frankfurter,2015,12,30,2
1033,2015-04-22,tropical fruit,2015,4,22,2
4222,2015-05-27,tropical fruit,2015,5,27,2
3679,2015-09-21,citrus fruit,2015,9,21,0
2212,2015-08-27,hamburger meat,2015,8,27,3
1507,2015-06-22,chicken,2015,6,22,0
2870,2015-01-21,chicken,2015,1,21,2
3429,2015-04-26,frankfurter,2015,4,26,6
4148,2015-09-04,canned beer,2015,9,4,4
2970,2015-12-30,turkey,2015,12,30,2
2013,2015-08-30,packaged fruit/vegetables,2015,8,30,6
3967,2015-05-30,pasta,2015,5,30,5
2885,2015-05-15,citrus fruit,2015,5,15,4
3935,2015-02-07,sausage,2015,2,7,5
3283,2015-01-05,whole milk,2015,1,5,0
3268,2015-06-11,canned beer,2015,6,11,3
3677,2015-04-30,citrus fruit,2015,4,30,3
3495,2015-06-27,liquor (appetizer),2015,6,27,5
1410,2015-04-10,citrus fruit,2015,4,10,4
2440,2015-06-06,sausage,2015,6,6,5
4088,2015-01-13,chicken,2015,1,13,1
2469,2015-09-23,hamburger meat,2015,9,23,2
4229,2015-06-03,sausage,2015,6,3,2
2728,2015-02-08,beef,2015,2,8,6
4694,2015-01-25,citrus fruit,2015,1,25,6
2836,2015-12-29,UHT-milk,2015,12,29,1
1311,2015-12-02,candy,2015,12,2,2
1760,2015-01-23,newspapers,2015,1,23,4
3656,2015-02-03,beef,2015,2,3,1
3720,2015-05-28,sausage,2015,5,28,3
2996,2015-09-26,frankfurter,2015,9,26,5
1949,2015-07-22,canned beer,2015,7,22,2
4498,2015-11-02,bottled beer,2015,11,2,0
2447,2015-12-28,onions,2015,12,28,0
1952,2015-03-23,tropical fruit,2015,3,23,0
4099,2015-01-27,bottled water,2015,1,27,1
1804,2015-12-03,beef,2015,12,3,3
1510,2015-05-16,sausage,2015,5,16,5
2879,2015-04-18,hair spray,2015,4,18,5
4899,2015-12-03,chicken,2015,12,3,3
4326,2015-09-29,pork,2015,9,29,1
1670,2015-05-17,ice cream,2015,5,17,6
1117,2015-05-24,meat,2015,5,24,6
1346,2015-03-04,other vegetables,2015,3,4,2
1178,2015-11-15,bottled water,2015,11,15,6
1649,2015-06-25,tropical fruit,2015,6,25,3
4651,2015-06-21,photo/film,2015,6,21,6
4243,2015-02-04,sausage,2015,2,4,2
4429,2015-07-21,grapes,2015,7,21,1
4645,2015-07-25,domestic eggs,2015,7,25,5
4019,2015-07-24,rolls/buns,2015,7,24,4
4459,2015-04-26,tropical fruit,2015,4,26,6
3006,2015-12-27,chicken,2015,12,27,6
1834,2015-09-17,frankfurter,2015,9,17,3
3236,2015-04-07,berries,2015,4,7,1
1765,2015-11-03,margarine,2015,11,3,1
3855,2015-09-03,tropical fruit,2015,9,3,3
4392,2015-11-28,ham,2015,11,28,5
3330,2015-07-26,hamburger meat,2015,7,26,6
1723,2015-02-09,yogurt,2015,2,9,0
4110,2015-03-30,soda,2015,3,30,0
2600,2015-01-28,yogurt,2015,1,28,2
2946,2015-07-10,soda,2015,7,10,4
2426,2015-08-09,bottled water,2015,8,9,6
4170,2015-03-05,sausage,2015,3,5,3
1109,2015-06-04,citrus fruit,2015,6,4,3
3429,2015-04-01,shopping bags,2015,4,1,2
2055,2015-04-02,newspapers,2015,4,2,3
2480,2015-09-20,frankfurter,2015,9,20,6
2441,2015-05-30,sausage,2015,5,30,5
1054,2015-04-10,frankfurter,2015,4,10,4
4818,2015-11-01,salt,2015,11,1,6
3379,2015-01-21,oil,2015,1,21,2
3939,2015-10-02,curd,2015,10,2,4
1367,2015-05-08,other vegetables,2015,5,8,4
1043,2015-10-01,citrus fruit,2015,10,1,3
2231,2015-10-17,frankfurter,2015,10,17,5
3235,2015-12-28,root vegetables,2015,12,28,0
4554,2015-07-16,tropical fruit,2015,7,16,3
3245,2015-01-24,beef,2015,1,24,5
2996,2015-05-19,berries,2015,5,19,1
2507,2015-05-01,canned beer,2015,5,1,4
4186,2015-10-25,whipped/sour cream,2015,10,25,6
3929,2015-04-28,root vegetables,2015,4,28,1
3760,2015-11-22,whole milk,2015,11,22,6
4928,2015-08-18,beef,2015,8,18,1
4217,2015-12-18,frozen vegetables,2015,12,18,4
1174,2015-11-02,rolls/buns,2015,11,2,0
4103,2015-06-19,whole milk,2015,6,19,4
4408,2015-03-13,whole milk,2015,3,13,4
2588,2015-12-28,citrus fruit,2015,12,28,0
2598,2015-11-11,pastry,2015,11,11,2
1518,2015-11-12,frankfurter,2015,11,12,3
2702,2015-08-04,tropical fruit,2015,8,4,1
1001,2015-01-20,frankfurter,2015,1,20,1
2270,2015-09-30,berries,2015,9,30,2
2838,2015-10-11,rolls/buns,2015,10,11,6
1683,2015-05-26,root vegetables,2015,5,26,1
4040,2015-03-04,yogurt,2015,3,4,2
3897,2015-08-23,other vegetables,2015,8,23,6
2200,2015-11-03,berries,2015,11,3,1
4073,2015-01-29,berries,2015,1,29,3
3700,2015-04-19,other vegetables,2015,4,19,6
3973,2015-10-06,rolls/buns,2015,10,6,1
2715,2015-06-07,ham,2015,6,7,6
3967,2015-11-23,whole milk,2015,11,23,0
4002,2015-03-09,tropical fruit,2015,3,9,0
2962,2015-01-03,bottled water,2015,1,3,5
4340,2015-12-25,butter milk,2015,12,25,4
2092,2015-06-11,newspapers,2015,6,11,3
3143,2015-05-24,coffee,2015,5,24,6
2209,2015-03-10,bottled beer,2015,3,10,1
2816,2015-08-22,onions,2015,8,22,5
2659,2015-01-06,hamburger meat,2015,1,6,1
1588,2015-10-13,sausage,2015,10,13,1
1144,2015-10-15,hard cheese,2015,10,15,3
2166,2015-10-12,sausage,2015,10,12,0
3300,2015-06-10,hamburger meat,2015,6,10,2
3944,2015-03-01,onions,2015,3,1,6
4979,2015-04-24,coffee,2015,4,24,4
2630,2015-01-21,shopping bags,2015,1,21,2
4240,2015-04-29,yogurt,2015,4,29,2
2357,2015-08-07,soda,2015,8,7,4
1743,2015-04-18,sliced cheese,2015,4,18,5
2331,2015-02-15,sausage,2015,2,15,6
1643,2015-04-28,yogurt,2015,4,28,1
1291,2015-03-20,domestic eggs,2015,3,20,4
3675,2015-04-07,whole milk,2015,4,7,1
4134,2015-06-11,meat,2015,6,11,3
1363,2015-06-21,dish cleaner,2015,6,21,6
4212,2015-01-05,other vegetables,2015,1,5,0
1500,2015-03-21,whole milk,2015,3,21,5
2622,2015-01-10,other vegetables,2015,1,10,5
3543,2015-03-18,tropical fruit,2015,3,18,2
2525,2015-05-24,baking powder,2015,5,24,6
1264,2015-12-10,specialty bar,2015,12,10,3
3601,2015-06-07,ice cream,2015,6,7,6
1771,2015-03-23,frankfurter,2015,3,23,0
4694,2015-06-02,canned beer,2015,6,2,1
1122,2015-12-21,bottled water,2015,12,21,0
3507,2015-12-08,other vegetables,2015,12,8,1
4524,2015-04-26,citrus fruit,2015,4,26,6
3612,2015-09-27,sausage,2015,9,27,6
3262,2015-11-06,domestic eggs,2015,11,6,4
1897,2015-01-25,pork,2015,1,25,6
1656,2015-10-30,specialty cheese,2015,10,30,4
3953,2015-10-01,pork,2015,10,1,3
1488,2015-06-21,beef,2015,6,21,6
1652,2015-03-17,other vegetables,2015,3,17,1
4953,2015-09-16,chicken,2015,9,16,2
3445,2015-04-30,soda,2015,4,30,3
3180,2015-03-15,whole milk,2015,3,15,6
4934,2015-06-09,rolls/buns,2015,6,9,1
2980,2015-04-27,bottled beer,2015,4,27,0
2763,2015-02-13,root vegetables,2015,2,13,4
4819,2015-04-03,pastry,2015,4,3,4
3169,2015-02-07,berries,2015,2,7,5
1850,2015-11-03,citrus fruit,2015,11,3,1
4285,2015-12-29,whole milk,2015,12,29,1
4366,2015-08-13,soda,2015,8,13,3
2253,2015-06-16,bottled water,2015,6,16,1
3398,2015-11-03,tropical fruit,2015,11,3,1
2215,2015-07-22,salty snack,2015,7,22,2
3737,2015-03-03,bottled water,2015,3,3,1
2649,2015-11-28,chocolate,2015,11,28,5
3203,2015-07-08,citrus fruit,2015,7,8,2
4261,2015-02-16,bottled water,2015,2,16,0
2435,2015-07-17,onions,2015,7,17,4
2046,2015-08-21,dessert,2015,8,21,4
4267,2015-11-02,beef,2015,11,2,0
1086,2015-12-28,rolls/buns,2015,12,28,0
1992,2015-04-01,beef,2015,4,1,2
3622,2015-07-26,soda,2015,7,26,6
4700,2015-06-27,coffee,2015,6,27,5
2272,2015-05-16,rolls/buns,2015,5,16,5
1663,2015-05-19,pork,2015,5,19,1
2519,2015-03-06,soda,2015,3,6,4
2639,2015-10-30,sausage,2015,10,30,4
1466,2015-04-19,beef,2015,4,19,6
4122,2015-10-23,whole milk,2015,10,23,4
3598,2015-04-15,pork,2015,4,15,2
3097,2015-10-08,berries,2015,10,8,3
1873,2015-09-19,sausage,2015,9,19,5
1537,2015-01-02,bottled water,2015,1,2,4
3960,2015-03-25,tropical fruit,2015,3,25,2
1136,2015-06-15,herbs,2015,6,15,0
2453,2015-12-21,yogurt,2015,12,21,0
1746,2015-02-15,Instant food products,2015,2,15,6
3572,2015-09-06,specialty chocolate,2015,9,6,6
3246,2015-06-24,coffee,2015,6,24,2
3207,2015-11-26,bottled beer,2015,11,26,3
1042,2015-12-02,beef,2015,12,2,2
1176,2015-03-30,whole milk,2015,3,30,0
3054,2015-02-23,frankfurter,2015,2,23,0
4486,2015-02-12,frankfurter,2015,2,12,3
1580,2015-05-12,other vegetables,2015,5,12,1
1623,2015-02-11,frankfurter,2015,2,11,2
4169,2015-11-24,whole milk,2015,11,24,1
2254,2015-01-24,frankfurter,2015,1,24,5
4095,2015-01-11,other vegetables,2015,1,11,6
1264,2015-11-17,bottled water,2015,11,17,1
3375,2015-06-01,pork,2015,6,1,0
3242,2015-05-23,bottled water,2015,5,23,5
2227,2015-07-06,other vegetables,2015,7,6,0
3847,2015-03-12,hamburger meat,2015,3,12,3
3897,2015-05-31,hamburger meat,2015,5,31,6
1799,2015-09-27,shopping bags,2015,9,27,6
2920,2015-04-26,whole milk,2015,4,26,6
3713,2015-01-31,ice cream,2015,1,31,5
4230,2015-05-11,pastry,2015,5,11,0
1455,2015-03-18,ham,2015,3,18,2
3687,2015-03-18,frankfurter,2015,3,18,2
3869,2015-01-08,sausage,2015,1,8,3
2988,2015-10-14,bottled beer,2015,10,14,2
4242,2015-03-30,bottled water,2015,3,30,0
4118,2015-12-24,meat,2015,12,24,3
4996,2015-10-24,dessert,2015,10,24,5
4489,2015-04-03,other vegetables,2015,4,3,4
1199,2015-09-11,beverages,2015,9,11,4
4108,2015-12-05,ham,2015,12,5,5
3484,2015-05-06,specialty bar,2015,5,6,2
1239,2015-08-31,brown bread,2015,8,31,0
4839,2015-12-19,whole milk,2015,12,19,5
4748,2015-07-05,rolls/buns,2015,7,5,6
4426,2015-06-06,bottled beer,2015,6,6,5
3571,2015-11-12,pet care,2015,11,12,3
2852,2015-08-06,citrus fruit,2015,8,6,3
3638,2015-05-26,pork,2015,5,26,1
3635,2015-10-03,other vegetables,2015,10,3,5
2723,2015-07-05,white wine,2015,7,5,6
3495,2015-11-03,whole milk,2015,11,3,1
2813,2015-11-16,pip fruit,2015,11,16,0
2799,2015-02-09,sugar,2015,2,9,0
4723,2015-05-22,tropical fruit,2015,5,22,4
3313,2015-08-04,root vegetables,2015,8,4,1
4748,2015-12-15,soda,2015,12,15,1
2991,2015-02-16,whole milk,2015,2,16,0
1483,2015-01-04,tropical fruit,2015,1,4,6
3950,2015-01-10,white bread,2015,1,10,5
1634,2015-01-16,brown bread,2015,1,16,4
2694,2015-11-21,tropical fruit,2015,11,21,5
2707,2015-10-18,domestic eggs,2015,10,18,6
2813,2015-07-16,coffee,2015,7,16,3
2276,2015-11-01,soda,2015,11,1,6
4726,2015-06-02,whole milk,2015,6,2,1
4353,2015-05-25,bottled beer,2015,5,25,0
4017,2015-08-13,pork,2015,8,13,3
1422,2015-08-21,other vegetables,2015,8,21,4
2714,2015-03-15,yogurt,2015,3,15,6
2769,2015-07-21,sparkling wine,2015,7,21,1
4166,2015-04-30,bottled water,2015,4,30,3
3614,2015-02-03,citrus fruit,2015,2,3,1
4361,2015-05-09,hamburger meat,2015,5,9,5
1922,2015-09-22,packaged fruit/vegetables,2015,9,22,1
4728,2015-06-09,other vegetables,2015,6,9,1
3646,2015-08-08,soda,2015,8,8,5
1155,2015-10-08,whole milk,2015,10,8,3
2119,2015-11-06,herbs,2015,11,6,4
1602,2015-08-29,citrus fruit,2015,8,29,5
1074,2015-06-24,misc. beverages,2015,6,24,2
2256,2015-11-04,female sanitary products,2015,11,4,2
1348,2015-09-17,soda,2015,9,17,3
3806,2015-08-28,tropical fruit,2015,8,28,4
1711,2015-06-06,soda,2015,6,6,5
3959,2015-12-04,white bread,2015,12,4,4
1590,2015-08-15,coffee,2015,8,15,5
1962,2015-08-06,tropical fruit,2015,8,6,3
1766,2015-01-21,pork,2015,1,21,2
2551,2015-10-21,citrus fruit,2015,10,21,2
2294,2015-09-23,frankfurter,2015,9,23,2
4531,2015-05-29,frankfurter,2015,5,29,4
2957,2015-12-04,frankfurter,2015,12,4,4
4415,2015-01-27,other vegetables,2015,1,27,1
1476,2015-08-26,yogurt,2015,8,26,2
3978,2015-07-23,sausage,2015,7,23,3
2062,2015-09-22,whole milk,2015,9,22,1
3252,2015-06-28,pip fruit,2015,6,28,6
3922,2015-06-24,whole milk,2015,6,24,2
1491,2015-10-17,root vegetables,2015,10,17,5
3526,2015-08-26,onions,2015,8,26,2
4060,2015-11-12,specialty chocolate,2015,11,12,3
1067,2015-08-04,hamburger meat,2015,8,4,1
2840,2015-01-27,photo/film,2015,1,27,1
4484,2015-11-27,rolls/buns,2015,11,27,4
2353,2015-07-02,canned beer,2015,7,2,3
3130,2015-02-18,canned beer,2015,2,18,2
4273,2015-06-14,other vegetables,2015,6,14,6
4565,2015-12-30,canned beer,2015,12,30,2
2504,2015-08-14,curd,2015,8,14,4
4127,2015-10-23,butter,2015,10,23,4
2690,2015-01-04,other vegetables,2015,1,4,6
4129,2015-09-22,whole milk,2015,9,22,1
4511,2015-06-29,beef,2015,6,29,0
1602,2015-04-08,sausage,2015,4,8,2
4369,2015-01-02,soda,2015,1,2,4
1302,2015-09-29,fruit/vegetable juice,2015,9,29,1
3326,2015-04-30,rolls/buns,2015,4,30,3
2066,2015-05-21,pip fruit,2015,5,21,3
3483,2015-01-15,frozen vegetables,2015,1,15,3
2840,2015-12-02,beverages,2015,12,2,2
1807,2015-05-18,hamburger meat,2015,5,18,0
2067,2015-12-08,root vegetables,2015,12,8,1
3783,2015-02-17,canned beer,2015,2,17,1
2884,2015-04-01,frozen vegetables,2015,4,1,2
2908,2015-03-15,canned beer,2015,3,15,6
