0,1,2,3,4,5,6,7,8,9,10
chocolate,shopping bags,,,,,,,,,
whole milk,canned beer,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
chicken,pip fruit,,,,,,,,,
whole milk,sparkling wine,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
whole milk,turkey,pork,dog food,rolls/buns,soda,bottled water,bottled water,,,
soda,whipped/sour cream,,,,,,,,,
other vegetables,soda,,,,,,,,,
brown bread,pasta,,,,,,,,,
specialty chocolate,beverages,,,,,,,,,
bottled water,onions,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
specialty bar,newspapers,,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
citrus fruit,syrup,,,,,,,,,
baking powder,pickled vegetables,,,,,,,,,
root vegetables,cling film/bags,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
rolls/buns,soft cheese,fruit/vegetable juice,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
citrus fruit,brown bread,specialty chocolate,,,,,,,,
pasta,oil,,,,,,,,,
bottled water,yogurt,beef,berries,chocolate,butter,,,,,
whole milk,citrus fruit,shopping bags,white wine,soda,yogurt,,,,,
hard cheese,sugar,bottled water,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frozen potato products,domestic eggs,curd cheese,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
pastry,other vegetables,,,,,,,,,
rolls/buns,canned beer,brown bread,dessert,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
oil,coffee,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
bottled water,chocolate,jam,,,,,,,,
cereals,soda,,,,,,,,,
chicken,frozen meals,napkins,,,,,,,,
frozen potato products,whole milk,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
white bread,mayonnaise,,,,,,,,,
sausage,root vegetables,,,,,,,,,
butter,mustard,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
candy,baking powder,canned fish,,,,,,,,
ice cream,hamburger meat,shopping bags,whole milk,soft cheese,,,,,,
beef,butter milk,,,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
sausage,bottled beer,dessert,butter,cream cheese ,other vegetables,canned beer,brown bread,,,
beef,whole milk,newspapers,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
beef,whole milk,frozen meals,,,,,,,,
frankfurter,canned beer,,,,,,,,,
ice cream,chewing gum,,,,,,,,,
pip fruit,specialty bar,chocolate,,,,,,,,
white bread,domestic eggs,,,,,,,,,
soda,detergent,,,,,,,,,
soda,butter,,,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
soda,soda,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
other vegetables,onions,shopping bags,,,,,,,,
butter milk,cleaner,bottled water,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
whole milk,rolls/buns,soda,,,,,,,,
tropical fruit,dessert,,,,,,,,,
bottled beer,sliced cheese,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
pip fruit,rolls/buns,soda,,,,,,,,
bottled water,soda,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
sparkling wine,waffles,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
berries,white bread,,,,,,,,,
hamburger meat,citrus fruit,specialty chocolate,other vegetables,,,,,,,
brown bread,pastry,,,,,,,,,
butter,seasonal products,fruit/vegetable juice,,,,,,,,
soda,shopping bags,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
whole milk,bottled water,honey,,,,,,,,
pip fruit,napkins,,,,,,,,,
butter,coffee,soda,pastry,,,,,,,
butter,shopping bags,,,,,,,,,
finished products,liquor,,,,,,,,,
whole milk,soft cheese,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
mayonnaise,candy,rolls/buns,bottled beer,,,,,,,
whole milk,brown bread,,,,,,,,,
pip fruit,waffles,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
sausage,chocolate,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,citrus fruit,root vegetables,misc. beverages,sliced cheese,packaged fruit/vegetables,yogurt,whipped/sour cream,,,
citrus fruit,napkins,,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
other vegetables,specialty chocolate,newspapers,,,,,,,,
grapes,rolls/buns,,,,,,,,,
beverages,sausage,,,,,,,,,
sugar,canned vegetables,flour,bottled water,salty snack,,,,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
brown bread,detergent,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
candy,dessert,rolls/buns,canned fish,,,,,,,
candles,whole milk,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
coffee,oil,,,,,,,,,
yogurt,roll products ,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
soda,beverages,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
whole milk,waffles,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
softener,chocolate,,,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
grapes,chicken,bottled beer,root vegetables,,,,,,,
whole milk,oil,,,,,,,,,
white bread,bottled water,ready soups,curd,,,,,,,
yogurt,whole milk,yogurt,chewing gum,,,,,,,
tropical fruit,hygiene articles,candles,,,,,,,,
sausage,cat food,,,,,,,,,
pastry,sausage,soda,rolls/buns,sugar,soda,other vegetables,whole milk,softener,,
ham,pickled vegetables,shopping bags,,,,,,,,
whole milk,yogurt,semi-finished bread,,,,,,,,
frankfurter,whole milk,,,,,,,,,
soft cheese,bottled water,,,,,,,,,
pork,beef,yogurt,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
shopping bags,misc. beverages,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
sausage,dessert,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
ham,brown bread,,,,,,,,,
fruit/vegetable juice,long life bakery product,specialty cheese,,,,,,,,
butter,margarine,,,,,,,,,
finished products,domestic eggs,,,,,,,,,
specialty bar,whole milk,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
rolls/buns,tropical fruit,salty snack,specialty bar,,,,,,,
frankfurter,butter,specialty bar,yogurt,,,,,,,
tropical fruit,salt,,,,,,,,,
beef,domestic eggs,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
chicken,beef,pork,beef,newspapers,dessert,margarine,brown bread,newspapers,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
syrup,waffles,,,,,,,,,
meat,chicken,yogurt,pip fruit,,,,,,,
sauces,yogurt,,,,,,,,,
grapes,root vegetables,shopping bags,,,,,,,,
pip fruit,other vegetables,semi-finished bread,sliced cheese,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
turkey,onions,,,,,,,,,
canned beer,brown bread,,,,,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
citrus fruit,grapes,bottled water,,,,,,,,
whole milk,sugar,,,,,,,,,
whole milk,dog food,pastry,,,,,,,,
meat,cling film/bags,curd,,,,,,,,
pork,frozen meals,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
tropical fruit,rolls/buns,frozen fish,,,,,,,,
tropical fruit,meat,whole milk,candles,,,,,,,
canned beer,brown bread,,,,,,,,,
red/blush wine,instant coffee,,,,,,,,,
sausage,pasta,,,,,,,,,
canned beer,margarine,chocolate,,,,,,,,
pastry,waffles,,,,,,,,,
rolls/buns,specialty chocolate,napkins,onions,rice,rolls/buns,butter milk,dental care,,,
frankfurter,ice cream,,,,,,,,,
sugar,bottled water,,,,,,,,,
canned beer,coffee,,,,,,,,,
condensed milk,onions,,,,,,,,,
citrus fruit,butter,UHT-milk,,,,,,,,
packaged fruit/vegetables,flour,,,,,,,,,
citrus fruit,semi-finished bread,yogurt,,,,,,,,
ham,rum,,,,,,,,,
UHT-milk,cooking chocolate,,,,,,,,,
sausage,specialty chocolate,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
whole milk,curd,,,,,,,,,
white bread,jam,,,,,,,,,
butter milk,soda,seasonal products,,,,,,,,
shopping bags,whole milk,whole milk,whole milk,detergent,flour,,,,,
dessert,sliced cheese,bottled beer,other vegetables,,,,,,,
photo/film,brown bread,,,,,,,,,
hard cheese,pastry,,,,,,,,,
beef,citrus fruit,specialty bar,white bread,soda,vinegar,long life bakery product,domestic eggs,,,
yogurt,whipped/sour cream,,,,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
beef,white bread,frozen potato products,,,,,,,,
mustard,brown bread,,,,,,,,,
ham,whipped/sour cream,newspapers,,,,,,,,
canned beer,sliced cheese,,,,,,,,,
soda,canned beer,,,,,,,,,
soda,butter milk,soda,,,,,,,,
ham,domestic eggs,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frankfurter,pastry,misc. beverages,,,,,,,,
yogurt,margarine,,,,,,,,,
hard cheese,soda,,,,,,,,,
ice cream,onions,,,,,,,,,
white wine,photo/film,whipped/sour cream,,,,,,,,
grapes,detergent,,,,,,,,,
sausage,root vegetables,,,,,,,,,
pork,sliced cheese,flour,,,,,,,,
pasta,canned beer,,,,,,,,,
butter,grapes,bottled water,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
UHT-milk,curd,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
rolls/buns,whipped/sour cream,waffles,rolls/buns,margarine,soda,salty snack,soda,canned beer,,
chicken,whole milk,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
root vegetables,margarine,bottled water,,,,,,,,
yogurt,shopping bags,coffee,,,,,,,,
curd,pastry,,,,,,,,,
salty snack,root vegetables,,,,,,,,,
bottled water,soda,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
dog food,processed cheese,,,,,,,,,
butter,roll products ,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
other vegetables,curd,abrasive cleaner,,,,,,,,
sausage,sausage,bottled beer,spread cheese,,,,,,,
shopping bags,waffles,,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
whole milk,cling film/bags,,,,,,,,,
butter milk,hard cheese,,,,,,,,,
cleaner,misc. beverages,,,,,,,,,
pork,other vegetables,cream cheese ,,,,,,,,
beverages,sugar,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
ham,whole milk,other vegetables,soda,white bread,tropical fruit,sugar,,,,
frankfurter,margarine,,,,,,,,,
roll products ,waffles,,,,,,,,,
meat,soda,,,,,,,,,
condensed milk,whole milk,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
sausage,processed cheese,,,,,,,,,
finished products,yogurt,bottled beer,bottled water,,,,,,,
brown bread,tropical fruit,,,,,,,,,
onions,hard cheese,,,,,,,,,
soda,shopping bags,,,,,,,,,
frozen vegetables,sausage,whole milk,frozen vegetables,rolls/buns,other vegetables,oil,frozen fish,baking powder,,
oil,margarine,,,,,,,,,
specialty chocolate,pasta,soda,long life bakery product,,,,,,,
whole milk,specialty cheese,,,,,,,,,
meat,other vegetables,pasta,,,,,,,,
butter,chocolate,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
sausage,dog food,bottled beer,bottled water,,,,,,,
sausage,frozen meals,,,,,,,,,
beverages,beverages,sugar,pasta,domestic eggs,,,,,,
shopping bags,tropical fruit,,,,,,,,,
soda,cling film/bags,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
candy,soda,,,,,,,,,
rolls/buns,salty snack,bottled water,shopping bags,,,,,,,
coffee,white bread,,,,,,,,,
onions,soft cheese,,,,,,,,,
dessert,condensed milk,rolls/buns,shopping bags,,,,,,,
turkey,shopping bags,,,,,,,,,
soda,soda,canned fruit,processed cheese,soda,shopping bags,,,,,
tropical fruit,rolls/buns,,,,,,,,,
grapes,other vegetables,,,,,,,,,
yogurt,canned beer,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
tropical fruit,berries,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
butter,candy,,,,,,,,,
chicken,butter,,,,,,,,,
margarine,margarine,,,,,,,,,
dessert,packaged fruit/vegetables,,,,,,,,,
citrus fruit,skin care,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
beef,curd,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
soda,frozen meals,bottled beer,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
canned beer,dessert,fruit/vegetable juice,,,,,,,,
grapes,other vegetables,,,,,,,,,
pork,turkey,pot plants,whole milk,soda,dishes,,,,,
chicken,pastry,,,,,,,,,
pastry,liqueur,,,,,,,,,
sausage,processed cheese,baking powder,specialty cheese,,,,,,,
ham,napkins,,,,,,,,,
white wine,specialty bar,specialty chocolate,,,,,,,,
soda,red/blush wine,,,,,,,,,
tea,coffee,,,,,,,,,
berries,domestic eggs,,,,,,,,,
sugar,other vegetables,,,,,,,,,
sausage,coffee,,,,,,,,,
UHT-milk,herbs,butter,oil,,,,,,,
frozen dessert,cream cheese ,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
yogurt,coffee,,,,,,,,,
rolls/buns,fruit/vegetable juice,frozen vegetables,whipped/sour cream,,,,,,,
whole milk,shopping bags,,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
ice cream,whole milk,,,,,,,,,
sausage,grapes,sliced cheese,napkins,,,,,,,
pork,root vegetables,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
sausage,curd,,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
rolls/buns,hard cheese,rolls/buns,flour,,,,,,,
whole milk,onions,pickled vegetables,,,,,,,,
organic sausage,frozen meals,sugar,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
tropical fruit,white bread,butter,,,,,,,,
tropical fruit,yogurt,semi-finished bread,soda,,,,,,,
sausage,other vegetables,tropical fruit,mayonnaise,,,,,,,
bottled water,pastry,,,,,,,,,
sugar,curd,,,,,,,,,
specialty bar,tropical fruit,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
UHT-milk,canned fish,root vegetables,waffles,,,,,,,
hamburger meat,other vegetables,domestic eggs,,,,,,,,
pork,brown bread,,,,,,,,,
pork,yogurt,,,,,,,,,
cream cheese ,pip fruit,citrus fruit,chicken,other vegetables,curd,specialty chocolate,pastry,,,
shopping bags,tropical fruit,red/blush wine,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
butter,whole milk,,,,,,,,,
other vegetables,margarine,brown bread,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
white wine,sauces,,,,,,,,,
oil,canned fish,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
red/blush wine,frozen meals,canned fruit,,,,,,,,
other vegetables,whole milk,softener,,,,,,,,
other vegetables,liquor,whole milk,butter milk,,,,,,,
cake bar,flower soil/fertilizer,,,,,,,,,
citrus fruit,cereals,,,,,,,,,
pork,napkins,,,,,,,,,
specialty bar,cleaner,,,,,,,,,
pork,pastry,,,,,,,,,
artif. sweetener,whole milk,,,,,,,,,
tidbits,cream cheese ,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
coffee,other vegetables,specialty cheese,,,,,,,,
frozen potato products,domestic eggs,shopping bags,butter milk,,,,,,,
rolls/buns,dental care,,,,,,,,,
ice cream,butter,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
sausage,onions,mustard,,,,,,,,
curd,hygiene articles,,,,,,,,,
root vegetables,butter,dessert,,,,,,,,
other vegetables,whole milk,,,,,,,,,
white bread,specialty chocolate,,,,,,,,,
salt,citrus fruit,,,,,,,,,
dessert,house keeping products,,,,,,,,,
hard cheese,yogurt,,,,,,,,,
sausage,whole milk,rolls/buns,bottled beer,,,,,,,
whole milk,cream cheese ,semi-finished bread,,,,,,,,
condensed milk,hard cheese,,,,,,,,,
butter,brown bread,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
whipped/sour cream,other vegetables,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
citrus fruit,hamburger meat,photo/film,,,,,,,,
meat,root vegetables,,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
oil,butter,,,,,,,,,
pastry,sliced cheese,,,,,,,,,
chicken,soda,,,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
root vegetables,ham,,,,,,,,,
beverages,sausage,whole milk,citrus fruit,whole milk,,,,,,
finished products,rolls/buns,,,,,,,,,
butter milk,spices,,,,,,,,,
spices,ice cream,,,,,,,,,
UHT-milk,fish,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
finished products,rolls/buns,oil,frozen vegetables,,,,,,,
tropical fruit,coffee,newspapers,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
white bread,shopping bags,,,,,,,,,
soda,bottled water,,,,,,,,,
other vegetables,snack products,,,,,,,,,
misc. beverages,yogurt,,,,,,,,,
pork,bottled water,,,,,,,,,
butter,bottled water,,,,,,,,,
whole milk,onions,cream cheese ,,,,,,,,
bottled water,newspapers,specialty bar,bottled water,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
root vegetables,chicken,,,,,,,,,
UHT-milk,frozen vegetables,,,,,,,,,
salty snack,soups,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
tropical fruit,chocolate marshmallow,napkins,bottled water,,,,,,,
citrus fruit,ice cream,butter,shopping bags,,,,,,,
butter,rolls/buns,,,,,,,,,
pastry,soda,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
long life bakery product,root vegetables,,,,,,,,,
pork,domestic eggs,pickled vegetables,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
root vegetables,chewing gum,,,,,,,,,
herbs,dessert,yogurt,,,,,,,,
meat,coffee,,,,,,,,,
whole milk,soda,,,,,,,,,
canned fruit,whipped/sour cream,,,,,,,,,
chicken,other vegetables,frozen meals,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
whole milk,packaged fruit/vegetables,abrasive cleaner,napkins,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,
rolls/buns,napkins,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
herbs,yogurt,prosecco,,,,,,,,
other vegetables,salty snack,brown bread,canned beer,,,,,,,
rice,margarine,,,,,,,,,
other vegetables,frankfurter,whole milk,sausage,misc. beverages,margarine,yogurt,frozen meals,cat food,,
sausage,whipped/sour cream,,,,,,,,,
onions,sugar,mustard,rolls/buns,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
oil,whole milk,,,,,,,,,
beverages,pork,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
whole milk,light bulbs,,,,,,,,,
dessert,tropical fruit,pip fruit,hard cheese,specialty fat,,,,,,
whole milk,specialty cheese,,,,,,,,,
hygiene articles,semi-finished bread,,,,,,,,,
white wine,dishes,,,,,,,,,
waffles,butter milk,domestic eggs,,,,,,,,
root vegetables,soda,other vegetables,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,bottled water,,,,,,,,,
frankfurter,chicken,processed cheese,dessert,,,,,,,
pickled vegetables,UHT-milk,long life bakery product,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
rice,bottled beer,,,,,,,,,
pip fruit,root vegetables,root vegetables,beverages,,,,,,,
tropical fruit,meat,hard cheese,jam,,,,,,,
other vegetables,yogurt,,,,,,,,,
yogurt,red/blush wine,,,,,,,,,
herbs,domestic eggs,,,,,,,,,
sausage,house keeping products,,,,,,,,,
chicken,cream cheese ,napkins,,,,,,,,
pastry,rolls/buns,,,,,,,,,
chicken,soda,dishes,,,,,,,,
bottled beer,Instant food products,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
canned beer,white bread,,,,,,,,,
bottled beer,whole milk,salty snack,other vegetables,,,,,,,
chicken,yogurt,,,,,,,,,
whipped/sour cream,roll products ,,,,,,,,,
pot plants,pip fruit,,,,,,,,,
sausage,soda,frozen vegetables,,,,,,,,
shopping bags,hard cheese,yogurt,,,,,,,,
root vegetables,bottled water,,,,,,,,,
citrus fruit,butter,rolls/buns,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
pip fruit,detergent,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
canned beer,whole milk,bottled beer,,,,,,,,
whole milk,pastry,,,,,,,,,
pasta,rolls/buns,margarine,canned fish,yogurt,,,,,,
hamburger meat,other vegetables,,,,,,,,,
rolls/buns,whipped/sour cream,dishes,,,,,,,,
frankfurter,whole milk,,,,,,,,,
spread cheese,root vegetables,,,,,,,,,
sausage,white wine,candy,,,,,,,,
citrus fruit,tropical fruit,pork,other vegetables,whole milk,yogurt,flower (seeds),,,,
whole milk,pork,rolls/buns,yogurt,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pastry,canned beer,,,,,,,,,
whole milk,sugar,,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
white wine,waffles,,,,,,,,,
napkins,pastry,,,,,,,,,
brown bread,whole milk,,,,,,,,,
pork,root vegetables,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
pastry,pickled vegetables,margarine,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
dessert,butter,,,,,,,,,
tropical fruit,cocoa drinks,,,,,,,,,
hard cheese,salty snack,,,,,,,,,
newspapers,salty snack,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
rolls/buns,red/blush wine,canned beer,,,,,,,,
candy,berries,mustard,,,,,,,,
pip fruit,skin care,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
long life bakery product,waffles,canned vegetables,soft cheese,,,,,,,
hamburger meat,butter,,,,,,,,,
frankfurter,oil,,,,,,,,,
long life bakery product,other vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
canned beer,ice cream,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
ham,chocolate,,,,,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
bottled beer,curd,,,,,,,,,
curd,frozen vegetables,,,,,,,,,
specialty cheese,onions,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
mustard,yogurt,,,,,,,,,
pastry,specialty bar,flour,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
pip fruit,grapes,pastry,,,,,,,,
misc. beverages,rice,soda,,,,,,,,
mayonnaise,processed cheese,,,,,,,,,
root vegetables,coffee,,,,,,,,,
soft cheese,bottled beer,,,,,,,,,
finished products,pip fruit,root vegetables,canned fruit,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
bottled beer,soda,,,,,,,,,
citrus fruit,waffles,female sanitary products,,,,,,,,
chicken,meat,chewing gum,bottled beer,baking powder,shopping bags,,,,,
waffles,curd,,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
whole milk,whole milk,,,,,,,,,
syrup,whole milk,,,,,,,,,
soups,whole milk,beef,bottled beer,,,,,,,
specialty bar,condensed milk,,,,,,,,,
yogurt,processed cheese,,,,,,,,,
specialty chocolate,whole milk,,,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
misc. beverages,frankfurter,salt,curd,,,,,,,
rolls/buns,soda,chocolate,,,,,,,,
napkins,soda,,,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
packaged fruit/vegetables,chewing gum,ham,condensed milk,soda,,,,,,
cereals,frozen vegetables,,,,,,,,,
ice cream,beef,yogurt,canned beer,,,,,,,
pip fruit,sugar,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pastry,shopping bags,,,,,,,,,
roll products ,canned vegetables,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
sausage,chicken,bottled beer,whole milk,,,,,,,
bottled beer,instant coffee,,,,,,,,,
rolls/buns,curd,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
tropical fruit,pastry,cream cheese ,,,,,,,,
sausage,ham,shopping bags,whole milk,butter,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
dessert,newspapers,domestic eggs,,,,,,,,
ham,sausage,detergent,whipped/sour cream,yogurt,dishes,,,,,
sausage,frozen vegetables,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
whole milk,processed cheese,curd,,,,,,,,
soda,soda,roll products ,,,,,,,,
chicken,berries,soda,,,,,,,,
newspapers,processed cheese,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
condensed milk,domestic eggs,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
root vegetables,citrus fruit,bottled water,Instant food products,butter milk,mayonnaise,,,,,
processed cheese,rolls/buns,canned fish,,,,,,,,
pastry,whole milk,,,,,,,,,
curd,butter,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frozen meals,sausage,canned beer,brown bread,frozen vegetables,chocolate,,,,,
ham,sausage,curd,other vegetables,,,,,,,
Instant food products,bottled beer,butter,,,,,,,,
chicken,onions,,,,,,,,,
waffles,dishes,domestic eggs,oil,,,,,,,
frankfurter,coffee,,,,,,,,,
onions,waffles,,,,,,,,,
whipped/sour cream,grapes,yogurt,spread cheese,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
pet care,flour,coffee,napkins,,,,,,,
cling film/bags,napkins,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
meat,curd,,,,,,,,,
UHT-milk,whole milk,canned beer,,,,,,,,
other vegetables,margarine,,,,,,,,,
grapes,frozen vegetables,vinegar,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled water,whole milk,whole milk,frozen vegetables,,,,,,,
whole milk,pot plants,,,,,,,,,
mustard,flour,,,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,rolls/buns,pastry,,,,,,,,
root vegetables,whole milk,rolls/buns,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
honey,yogurt,spices,chocolate,,,,,,,
bottled water,root vegetables,bottled beer,pastry,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
frankfurter,berries,,,,,,,,,
